pf.txt	Playa fina				
Muestreo=	4				
Prof. Via1	0.13				
Prof. Via2	0.293				
Prof. Via3	0.455				
Prof. Via4	0.78				
PRES	DIAM	VIA1	VIA2	VIA3	VIA4
139067.9	2.04671	34.8466	49.5518	49.5518	50.2558
138852.5	2.049779	35.2128	49.918	49.918	50.2558
138484.6	2.052688	34.8466	49.918	49.918	48.791
137909.9	2.05516	33.3818	48.087	48.087	48.4248
136971.9	2.057433	31.1846	46.9882	46.9882	47.6924
135916.9	2.058058	30.086	46.622	46.622	47.3262
134478.4	2.055878	28.9874	45.5234	45.5234	46.5938
132782.7	2.056855	27.8886	44.4248	44.4248	44.7626
130893.4	2.058175	24.959	42.5938	42.5938	41.833
128647.1	2.057844	22.0292	40.0302	40.0302	38.5372
126157	2.055048	20.1982	38.1992	38.1992	35.2412
123805.5	2.054394	18.7334	36.3682	36.3682	32.6778
122044	2.053559	16.9024	33.8046	33.8046	30.1142
121423.5	2.051535	14.3388	30.1426	30.1426	26.8184
122154.7	2.048636	12.1416	27.2128	27.2128	23.8886
122715.6	2.047006	9.9444	23.917	23.917	20.2266
122670.6	2.046274	8.1132	20.9874	20.9874	16.1982
122192.5	2.045664	5.916	18.0576	18.0576	12.9024
121758.2	2.044478	4.4512	15.128	15.128	9.6064
121280.6	2.043705	2.9864	13.2968	13.2968	7.4092
120846.6	2.042715	1.8876	11.4658	11.4658	5.5782
120369.3	2.041579	0.4228	10.001	10.001	4.1132
120065.5	2.04041	-1.042	7.8038	7.8038	2.6484
119718.3	2.039455	-1.774	6.705	6.705	1.1836
119349.5	2.03845	-2.506	5.9726	5.9726	-0.282
119034.9	2.037691	-2.506	5.2402	5.2402	-1.38
118747.4	2.036862	-2.506	4.1416	4.1416	-3.212
118538.6	2.03592	-2.14	2.6768	2.6768	-4.676
118173.8	2.035072	-2.874	2.3106	2.3106	-6.874
117861.3	2.03421	-2.874	1.5782	1.5782	-8.338
117574.8	2.033239	-2.874	0.1132	0.1132	-10.536
117301.4	2.032463	-2.874	-0.986	-0.986	-12
117034.6	2.031765	-3.24	-1.718	-1.718	-13.098
116901.1	2.030989	-4.338	-3.182	-3.182	-14.564
116704.2	2.027793	-5.436	-4.648	-4.648	-16.028
116605.8	2.025259	-5.802	-6.844	-6.844	-16.76
116491.5	2.025036	-6.536	-8.676	-8.676	-16.76
116369.2	2.024738	-6.902	-10.506	-10.506	-17.494
116308.1	2.022999	-6.902	-11.972	-11.972	-18.226
116277.5	2.021631	-6.536	-13.07	-13.07	-18.592
116197.2	2.021526	-6.902	-14.536	-14.536	-18.592
116026.8	2.021333	-6.536	-16	-16	-17.86
116006.7	2.021356	-6.902	-16.732	-16.732	-17.126
115736.3	2.021181	-6.902	-17.464	-17.464	-15.662
115601.1	2.02112	-7.268	-17.098	-17.098	-14.564
